Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1610175995,192.168.1.151,49652,137.110.0.70,443,17,6307,19491,20,25
1610175996,192.168.1.151,49652,137.110.0.70,443,17,52813,1419831,481,1045
1610175996,192.168.1.23,50408,239.255.255.250,1900,17,153,0,1,0
1610175996,192.168.1.23,5353,224.0.0.251,5353,17,73,0,1,0
1610175997,192.168.1.23,5353,224.0.0.251,5353,17,73,0,1,0
1610175997,192.168.1.151,49652,137.110.0.70,443,17,40147,1200216,343,899
1610175998,192.168.1.151,49652,137.110.0.70,443,17,24439,218276,229,171
1610175998,192.168.1.23,50408,239.255.255.250,1900,17,153,0,1,0
1610175999,192.168.1.151,49652,137.110.0.70,443,17,54471,1189547,428,885
1610176000,192.168.1.151,49652,137.110.0.70,443,17,12631,240812,102,184
1610176001,192.168.1.151,49652,137.110.0.70,443,17,43343,1199862,379,894
1610176001,192.168.1.1,5353,224.0.0.251,5353,17,226,0,1,0
1610176002,192.168.1.151,49652,137.110.0.70,443,17,1516,6284,12,17
1610176003,192.168.1.151,49652,137.110.0.70,443,17,3465,18287,16,21
1610176003,192.168.1.23,5353,224.0.0.251,5353,17,89,0,1,0
1610176003,192.168.1.60,5353,224.0.0.251,5353,17,845,0,2,0
1610176003,192.168.1.17,5353,224.0.0.251,5353,17,771,0,2,0
1610176003,192.168.1.164,5353,224.0.0.251,5353,17,801,0,2,0
1610176003,192.168.1.60,9999,255.255.255.255,9999,17,57,0,1,0
1610176004,192.168.1.151,49652,137.110.0.70,443,17,55914,1413526,489,1050
1610176004,192.168.1.23,5353,224.0.0.251,5353,17,89,0,1,0
1610176004,192.168.1.60,5353,224.0.0.251,5353,17,845,0,2,0
1610176004,192.168.1.17,5353,224.0.0.251,5353,17,393,0,1,0
1610176004,192.168.1.164,5353,224.0.0.251,5353,17,801,0,2,0
1610176005,192.168.1.151,49652,137.110.0.70,443,17,5718,8906,19,23
1610176005,192.168.1.95,137,192.168.1.255,137,17,78,0,1,0
1610176006,192.168.1.151,49652,137.110.0.70,443,17,50938,1173084,467,869
1610176006,192.168.1.1,0,224.0.0.1,0,2,28,0,1,0
1610176007,192.168.1.151,49652,137.110.0.70,443,17,2296,3431,8,7
1610176007,192.168.1.17,5353,224.0.0.251,5353,17,1043,0,6,0
1610176007,192.168.1.60,5353,224.0.0.251,5353,17,877,0,3,0
1610176007,192.168.1.164,5353,224.0.0.251,5353,17,853,0,3,0
