Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1610393056,192.168.1.151,53644,137.110.0.69,443,17,52258,1178858,493,863
1610393057,192.168.1.151,53644,137.110.0.69,443,17,107,276,1,2
1610393058,192.168.1.151,53644,137.110.0.69,443,17,1655,829,4,3
1610393059,192.168.1.196,0,239.255.255.250,0,2,32,0,1,0
1610393059,192.168.1.151,53644,137.110.0.69,443,17,1430,11471,9,15
1610393060,192.168.1.151,53644,137.110.0.69,443,17,588,893,4,6
1610393061,192.168.1.219,60939,239.255.255.250,1900,17,459,0,3,0
1610393061,192.168.1.151,53644,137.110.0.69,443,17,212,318,2,3
1610393062,192.168.1.95,0,239.255.255.250,0,2,32,0,1,0
1610393062,192.168.1.151,53644,137.110.0.69,443,17,106,374,1,1
1610393062,192.168.1.220,5353,224.0.0.251,5353,17,167,0,1,0
1610393062,FE80::14B8:3909:93C2:4F5C,5353,FF02::FB,5353,17,187,0,1,0
1610393062,192.168.1.220,0,224.0.0.251,0,2,32,0,1,0
1610393062,192.168.1.1,0,224.0.0.251,0,2,28,0,1,0
1610393063,192.168.1.151,53644,137.110.0.69,443,17,5822,3639,11,7
1610393063,192.168.1.220,5353,224.0.0.251,5353,17,205,0,1,0
1610393063,FE80::14B8:3909:93C2:4F5C,5353,FF02::FB,5353,17,225,0,1,0
1610393063,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610393063,192.168.1.168,0,224.0.0.251,0,2,32,0,1,0
1610393065,192.168.1.164,9999,255.255.255.255,9999,17,57,0,1,0
1610393065,192.168.1.151,53644,137.110.0.69,443,17,57872,1745907,545,1279
1610393065,192.168.1.219,0,224.0.0.251,0,2,32,0,1,0
1610393065,192.168.1.96,0,239.255.255.250,0,2,32,0,1,0
1610393066,192.168.1.151,53644,137.110.0.69,443,17,59149,1169414,558,857
1610393067,192.168.1.151,53644,137.110.0.69,443,17,107,268,1,2
1610393067,192.168.1.219,0,239.255.255.250,0,2,32,0,1,0
