Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1610174157,192.168.1.151,49652,137.110.0.70,443,17,252,340,2,2
1610174158,192.168.1.151,49652,137.110.0.70,443,17,800,301,3,1
1610174158,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610174158,192.168.1.23,5353,224.0.0.251,5353,17,140,0,1,0
1610174158,FE80::CC6:78D5:61AC:C15D,5353,FF02::FB,5353,17,160,0,1,0
1610174159,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610174160,192.168.1.151,49652,137.110.0.70,443,17,107,118,1,1
1610174161,192.168.1.164,9999,255.255.255.255,9999,17,57,0,1,0
1610174161,192.168.1.151,49652,137.110.0.70,443,17,2834,7606,13,14
1610174161,192.168.1.60,0,239.255.255.250,0,2,32,0,1,0
1610174162,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610174162,192.168.1.151,49652,137.110.0.70,443,17,0,106,0,1
1610174163,192.168.1.151,49652,137.110.0.70,443,17,639,162,3,1
1610174164,192.168.1.151,49652,137.110.0.70,443,17,13117,48693,61,89
1610174165,192.168.1.151,49652,137.110.0.70,443,17,58991,1225891,440,947
1610174165,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610174166,192.168.1.151,49652,137.110.0.70,443,17,126,0,1,0
1610174167,192.168.1.151,49652,137.110.0.70,443,17,394,560,3,4
1610174168,192.168.1.151,49652,137.110.0.70,443,17,498,138,2,1
1610174168,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610174169,192.168.1.151,49652,137.110.0.70,443,17,890,527,3,3
1610174170,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610174170,192.168.1.60,5353,224.0.0.251,5353,17,1565,0,9,0
1610174170,192.168.1.164,5353,224.0.0.251,5353,17,1347,0,7,0
1610174170,192.168.1.96,0,239.255.255.250,0,2,32,0,1,0
1610174170,192.168.1.60,0,239.255.255.250,0,2,32,0,1,0
1610174171,192.168.1.151,49652,137.110.0.70,443,17,3798,4303,21,19
1610174172,192.168.1.151,49652,137.110.0.70,443,17,7201,7153,29,32
1610174173,192.168.1.151,49652,137.110.0.70,443,17,784,268,4,2
1610174174,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610174174,192.168.1.60,0,239.255.255.250,0,2,32,0,1,0
1610174175,192.168.1.151,49652,137.110.0.70,443,17,6254,197988,36,148
1610174176,192.168.1.151,49652,137.110.0.70,443,17,48606,1289210,373,959
1610174176,192.168.1.67,5353,224.0.0.251,5353,17,106,0,1,0
1610174177,192.168.1.151,49652,137.110.0.70,443,17,1080,1968,7,9
1610174178,192.168.1.151,49652,137.110.0.70,443,17,748,1359,4,2
1610174178,192.168.1.1,5353,224.0.0.251,5353,17,370,0,4,0
1610174178,192.168.1.67,5353,224.0.0.251,5353,17,178,0,1,0
1610174178,FE80::1C9C:E39F:43FE:DE21,5353,FF02::FB,5353,17,198,0,1,0
1610174179,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610174179,192.168.1.151,49652,137.110.0.70,443,17,127,138,1,1
1610174179,192.168.1.1,5353,224.0.0.251,5353,17,345,0,2,0
1610174180,192.168.1.95,5353,224.0.0.251,5353,17,69,0,1,0
1610174180,192.168.1.1,5353,224.0.0.251,5353,17,350,0,2,0
1610174180,192.168.1.67,5353,224.0.0.251,5353,17,740,0,3,0
1610174180,FE80::1C9C:E39F:43FE:DE21,5353,FF02::FB,5353,17,800,0,3,0
1610174181,FE80::1C9C:E39F:43FE:DE21,5353,FF02::FB,5353,17,1471,0,5,0
1610174181,192.168.1.67,5353,224.0.0.251,5353,17,1116,0,4,0
1610174182,192.168.1.151,49652,137.110.0.70,443,17,107,118,1,1
1610174182,192.168.1.1,5353,224.0.0.251,5353,17,226,0,1,0
