Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1610562085,192.168.1.151,64237,137.110.0.69,443,17,11343,140992,31,241
1610562085,192.168.1.100,62498,239.255.255.250,1900,17,201,0,1,0
1610562085,192.168.1.100,62496,239.255.255.250,1900,17,202,0,1,0
1610562085,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610562086,192.168.1.151,64237,137.110.0.69,443,17,13493,137760,35,236
1610562086,192.168.1.100,62498,239.255.255.250,1900,17,201,0,1,0
1610562086,192.168.1.100,62496,239.255.255.250,1900,17,202,0,1,0
1610562086,192.168.1.48,0,239.255.255.250,0,2,32,0,1,0
1610562086,192.168.1.200,0,239.255.255.250,0,2,32,0,1,0
1610562087,192.168.1.151,64237,137.110.0.69,443,17,11513,136369,36,234
1610562087,192.168.1.100,62498,239.255.255.250,1900,17,201,0,1,0
1610562088,192.168.1.151,64237,137.110.0.69,443,17,10677,130349,25,221
1610562088,192.168.1.95,0,239.255.255.250,0,2,32,0,1,0
1610562088,192.168.1.220,5353,224.0.0.251,5353,17,167,0,1,0
1610562088,FE80::14B8:3909:93C2:4F5C,5353,FF02::FB,5353,17,187,0,1,0
1610562089,192.168.1.151,64237,137.110.0.69,443,17,31678,139982,56,241
1610562089,192.168.1.220,5353,224.0.0.251,5353,17,167,0,1,0
1610562089,FE80::14B8:3909:93C2:4F5C,5353,FF02::FB,5353,17,187,0,1,0
1610562089,192.168.1.60,9999,255.255.255.255,9999,17,57,0,1,0
1610562090,192.168.1.151,64237,137.110.0.69,443,17,35340,128519,65,223
1610562091,192.168.1.151,64237,137.110.0.69,443,17,31966,129141,64,232
1610562091,192.168.1.164,9999,255.255.255.255,9999,17,57,0,1,0
1610562092,192.168.1.151,64237,137.110.0.69,443,17,11032,115908,25,209
1610562092,192.168.1.220,5353,224.0.0.251,5353,17,167,0,1,0
1610562092,FE80::14B8:3909:93C2:4F5C,5353,FF02::FB,5353,17,187,0,1,0
1610562093,192.168.1.151,64237,137.110.0.69,443,17,12563,132596,42,234
1610562094,192.168.1.151,64237,137.110.0.69,443,17,7549,131395,31,236
1610562094,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610562095,192.168.1.151,64237,137.110.0.69,443,17,16146,139694,48,256
1610562095,192.168.1.219,5353,224.0.0.251,5353,17,143,0,1,0
1610562095,FE80::403:9A25:E9EE:DBCA,5353,FF02::FB,5353,17,163,0,1,0
1610562095,192.168.1.95,0,239.255.255.250,0,2,32,0,1,0
1610562095,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610562096,192.168.1.151,64237,137.110.0.69,443,17,10614,154612,38,262
1610562096,192.168.1.219,5353,224.0.0.251,5353,17,143,0,1,0
1610562096,FE80::403:9A25:E9EE:DBCA,5353,FF02::FB,5353,17,163,0,1,0
1610562097,192.168.1.151,64237,137.110.0.69,443,17,11890,142608,36,238
1610562097,192.168.1.100,0,239.255.255.250,0,2,32,0,1,0
1610562098,192.168.1.151,64237,137.110.0.69,443,17,10655,133226,30,230
1610562098,192.168.1.200,0,239.255.255.250,0,2,32,0,1,0
1610562099,192.168.1.151,64237,137.110.0.69,443,17,21801,138479,45,238
1610562099,192.168.1.219,5353,224.0.0.251,5353,17,143,0,1,0
1610562099,FE80::403:9A25:E9EE:DBCA,5353,FF02::FB,5353,17,163,0,1,0
1610562100,192.168.1.151,64237,137.110.0.69,443,17,14090,138526,34,230
1610562100,192.168.1.151,60185,137.110.0.69,443,6,194,157,3,3
1610562101,192.168.1.151,64237,137.110.0.69,443,17,12904,147981,35,257
1610562102,192.168.1.151,64237,137.110.0.69,443,17,11925,122687,29,218
1610562103,192.168.1.151,64237,137.110.0.69,443,17,10571,141472,27,237
1610562103,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610562104,192.168.1.151,64237,137.110.0.69,443,17,12700,114114,28,196
1610562104,192.168.1.95,0,239.255.255.250,0,2,32,0,1,0
1610562105,192.168.1.151,64237,137.110.0.69,443,17,14229,114739,39,211
1610562105,192.168.1.48,57621,192.168.1.255,57621,17,72,0,1,0
1610562105,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610562106,192.168.1.151,64237,137.110.0.69,443,17,14564,140215,40,237
1610562107,192.168.1.151,64237,137.110.0.69,443,17,12859,127107,36,220
1610562108,192.168.1.151,64237,137.110.0.69,443,17,21655,145796,57,272
1610562108,192.168.1.219,5353,224.0.0.251,5353,17,143,0,1,0
1610562108,FE80::403:9A25:E9EE:DBCA,5353,FF02::FB,5353,17,163,0,1,0
1610562109,192.168.1.151,64237,137.110.0.69,443,17,16207,120725,45,213
1610562110,192.168.1.151,64237,137.110.0.69,443,17,14118,139901,39,236
1610562110,192.168.1.200,0,239.255.255.250,0,2,32,0,1,0
1610562110,192.168.1.100,0,239.255.255.250,0,2,32,0,1,0
1610562111,192.168.1.151,64237,137.110.0.69,443,17,11311,116444,40,204
1610562112,192.168.1.151,64237,137.110.0.69,443,17,9435,126338,25,208
1610562113,192.168.1.151,64237,137.110.0.69,443,17,17730,135821,60,244
1610562113,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610562114,192.168.1.151,64237,137.110.0.69,443,17,15554,138089,45,233
1610562114,192.168.1.100,0,239.255.255.250,0,2,32,0,1,0
1610562114,192.168.1.95,0,239.255.255.250,0,2,32,0,1,0
1610562115,192.168.1.151,64237,137.110.0.69,443,17,13068,143177,62,246
1610562115,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610562116,192.168.1.151,64237,137.110.0.69,443,17,5928,153478,27,249
1610562117,192.168.1.151,64237,137.110.0.69,443,17,13319,141312,40,246
1610562118,192.168.1.151,64237,137.110.0.69,443,17,11512,114505,25,207
1610562118,192.168.1.95,0,239.255.255.250,0,2,32,0,1,0
1610562119,192.168.1.151,64237,137.110.0.69,443,17,12463,127880,31,224
1610562119,192.168.1.200,0,239.255.255.250,0,2,32,0,1,0
1610562120,192.168.1.151,64237,137.110.0.69,443,17,10898,169859,28,281
1610562121,192.168.1.151,64237,137.110.0.69,443,17,13428,142388,35,245
1610562121,192.168.1.100,0,239.255.255.250,0,2,32,0,1,0
1610562121,192.168.1.219,5353,224.0.0.251,5353,17,143,0,1,0
1610562121,FE80::403:9A25:E9EE:DBCA,5353,FF02::FB,5353,17,163,0,1,0
1610562122,192.168.1.151,64237,137.110.0.69,443,17,13449,137172,33,233
1610562122,192.168.1.219,5353,224.0.0.251,5353,17,143,0,1,0
1610562122,FE80::403:9A25:E9EE:DBCA,5353,FF02::FB,5353,17,163,0,1,0
1610562123,192.168.1.151,64237,137.110.0.69,443,17,12718,136914,36,248
1610562124,192.168.1.151,64237,137.110.0.69,443,17,16782,133952,47,242
1610562124,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610562125,192.168.1.151,64237,137.110.0.69,443,17,12076,146177,35,246
1610562125,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610562126,192.168.1.151,64237,137.110.0.69,443,17,9402,142522,30,237
1610562127,192.168.1.151,64237,137.110.0.69,443,17,7473,144209,26,241
1610562128,192.168.1.151,64237,137.110.0.69,443,17,10210,142440,27,235
1610562128,192.168.1.200,0,239.255.255.250,0,2,32,0,1,0
1610562129,192.168.1.151,64237,137.110.0.69,443,17,8785,137453,27,232
1610562129,192.168.1.100,0,239.255.255.250,0,2,32,0,1,0
1610562130,192.168.1.151,64237,137.110.0.69,443,17,11912,166783,31,279
1610562130,192.168.1.151,60185,137.110.0.69,443,6,77,40,1,1
1610562130,192.168.1.48,5353,224.0.0.251,5353,17,73,0,1,0
1610562131,192.168.1.151,64237,137.110.0.69,443,17,12110,164449,29,277
1610562131,192.168.1.95,0,239.255.255.250,0,2,32,0,1,0
1610562132,192.168.1.151,64237,137.110.0.69,443,17,13999,169399,34,273
1610562132,192.168.1.48,51883,239.255.255.250,1900,17,153,0,1,0
1610562133,192.168.1.151,64237,137.110.0.69,443,17,10879,170481,29,277
1610562133,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610562134,192.168.1.151,64237,137.110.0.69,443,17,10853,171350,29,267
1610562135,192.168.1.151,64237,137.110.0.69,443,17,10155,172280,39,284
1610562135,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610562135,192.168.1.48,57621,192.168.1.255,57621,17,72,0,1,0
1610562136,192.168.1.151,64237,137.110.0.69,443,17,8423,142014,28,230
1610562137,192.168.1.151,64237,137.110.0.69,443,17,11390,146268,36,246
1610562138,192.168.1.151,64237,137.110.0.69,443,17,14146,148113,38,255
1610562138,192.168.1.200,0,239.255.255.250,0,2,32,0,1,0
1610562139,192.168.1.151,64237,137.110.0.69,443,17,14292,150371,42,259
1610562139,192.168.1.48,0,239.255.255.250,0,2,32,0,1,0
1610562140,192.168.1.151,64237,137.110.0.69,443,17,9918,146085,43,245
1610562141,192.168.1.151,64237,137.110.0.69,443,17,9920,151861,38,241
1610562141,192.168.1.95,0,239.255.255.250,0,2,32,0,1,0
1610562142,192.168.1.151,64237,137.110.0.69,443,17,10181,143436,45,235
1610562143,192.168.1.151,64237,137.110.0.69,443,17,18356,131468,44,230
1610562143,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610562144,192.168.1.151,64237,137.110.0.69,443,17,9319,129122,36,211
1610562144,192.168.1.219,5353,224.0.0.251,5353,17,143,0,1,0
1610562144,FE80::403:9A25:E9EE:DBCA,5353,FF02::FB,5353,17,163,0,1,0
1610562145,192.168.1.151,64237,137.110.0.69,443,17,8829,140204,29,236
1610562145,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610562145,FE80::5AEF:68FF:FE42:A0DA,0,FF02::1,0,58,152,0,1,0
1610562145,192.168.1.219,5353,224.0.0.251,5353,17,143,0,1,0
1610562145,FE80::403:9A25:E9EE:DBCA,5353,FF02::FB,5353,17,163,0,1,0
1610562146,192.168.1.151,64237,137.110.0.69,443,17,8294,151404,32,247
1610562147,192.168.1.151,64237,137.110.0.69,443,17,8653,144649,29,250
1610562147,192.168.1.95,0,239.255.255.250,0,2,32,0,1,0
1610562148,192.168.1.151,64237,137.110.0.69,443,17,10539,141715,34,235
1610562148,192.168.1.219,5353,224.0.0.251,5353,17,143,0,1,0
1610562148,FE80::403:9A25:E9EE:DBCA,5353,FF02::FB,5353,17,163,0,1,0
1610562149,192.168.1.151,64237,137.110.0.69,443,17,10202,149116,27,234
1610562149,192.168.1.60,9999,255.255.255.255,9999,17,57,0,1,0
1610562150,192.168.1.151,64237,137.110.0.69,443,17,10756,131273,30,219
1610562150,192.168.1.100,0,239.255.255.250,0,2,32,0,1,0
1610562151,192.168.1.200,0,239.255.255.250,0,2,32,0,1,0
1610562151,192.168.1.151,64237,137.110.0.69,443,17,10704,143642,34,249
1610562151,192.168.1.164,9999,255.255.255.255,9999,17,57,0,1,0
