Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1610399381,192.168.1.198,61680,239.255.255.250,1900,17,202,0,1,0,1610399381359;,202;,1;
1610399382,192.168.1.198,61680,239.255.255.250,1900,17,202,0,1,0,1610399382360;,202;,1;
1610399383,192.168.1.198,60327,13.226.250.113,443,6,40,52,1,1,1610399383069;1610399383085;,40;52;,1;2;
1610399383,192.168.1.198,59191,54.149.94.178,443,6,160,108,2,1,1610399383137;1610399383175;1610399383176;,108;108;52;,1;2;1;
1610399383,192.168.1.198,59193,54.149.94.178,443,6,160,108,2,1,1610399383138;1610399383181;1610399383182;,108;108;52;,1;2;1;
1610399383,192.168.1.198,59194,54.149.94.178,443,6,160,108,2,1,1610399383138;1610399383180;1610399383180;,108;108;52;,1;2;1;
1610399383,192.168.1.198,59195,54.149.94.178,443,6,160,108,2,1,1610399383138;1610399383180;1610399383180;,108;108;52;,1;2;1;
1610399383,192.168.1.198,61680,239.255.255.250,1900,17,202,0,1,0,1610399383360;,202;,1;
1610399383,192.168.1.198,60158,3.235.96.206,443,6,82,52,1,1,1610399383662;1610399383801;,82;52;,1;2;
1610399384,192.168.1.198,61680,239.255.255.250,1900,17,202,0,1,0,1610399384360;,202;,1;
1610399389,192.168.1.223,5353,224.0.0.251,5353,17,140,0,1,0,1610399389534;,140;,1;
1610399389,FE80::CBF:15F:B35F:F6FE,5353,FF02::FB,5353,17,160,0,1,0,1610399389534;,160;,1;
1610399389,192.168.1.198,5353,192.168.1.223,5353,17,445,0,1,0,1610399389635;,445;,1;
1610399390,192.168.1.223,5353,224.0.0.251,5353,17,177,0,1,0,1610399390558;,177;,1;
1610399390,FE80::CBF:15F:B35F:F6FE,5353,FF02::FB,5353,17,197,0,1,0,1610399390558;,197;,1;
1610399392,192.168.1.198,60305,172.217.11.162,443,6,40,52,1,1,1610399392309;1610399392324;,40;52;,1;2;
1610399392,192.168.1.198,59191,54.149.94.178,443,6,160,108,2,1,1610399392918;1610399392956;1610399392956;,108;108;52;,1;2;1;
1610399392,192.168.1.198,59193,54.149.94.178,443,6,160,108,2,1,1610399392919;1610399392961;1610399392961;,108;108;52;,1;2;1;
1610399392,192.168.1.198,59194,54.149.94.178,443,6,160,108,2,1,1610399392919;1610399392961;1610399392961;,108;108;52;,1;2;1;
1610399392,192.168.1.198,59195,54.149.94.178,443,6,160,108,2,1,1610399392919;1610399392961;1610399392961;,108;108;52;,1;2;1;
1610399393,192.168.1.198,60327,13.226.250.113,443,6,40,52,1,1,1610399393199;1610399393215;,40;52;,1;2;
1610399393,192.168.1.223,5353,224.0.0.251,5353,17,177,0,1,0,1610399393630;,177;,1;
1610399393,FE80::CBF:15F:B35F:F6FE,5353,FF02::FB,5353,17,197,0,1,0,1610399393630;,197;,1;
1610399393,192.168.1.198,60158,3.235.96.206,443,6,319,297,2,2,1610399393669;1610399393747;1610399393749;1610399393749;,267;52;245;52;,1;2;2;1;
1610399395,192.168.1.198,59194,54.149.94.178,443,6,52,1122,1,1,1610399395166;1610399395166;,1122;52;,2;1;
1610399395,192.168.1.198,59193,54.149.94.178,443,6,52,1124,1,1,1610399395262;1610399395262;,1124;52;,2;1;
1610399395,192.168.1.198,59189,137.110.0.69,443,6,141,141,2,2,1610399395409;1610399395427;1610399395427;1610399395427;,89;52;89;52;,1;2;2;1;
1610399399,192.168.1.198,55009,192.168.1.223,53480,6,52,40,1,1,1610399399058;1610399399058;,40;52;,2;1;
1610399399,192.168.1.198,60141,172.217.4.174,443,6,2312,784,3,3,1610399399884;1610399399884;1610399399905;1610399399905;1610399399935;1610399399935;,1470;790;52;52;680;52;,1;1;2;2;2;1;
