Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1613363930,192.168.1.214,49287,137.110.0.69,443,17,2118,19914,19,25,1613363930691;1613363930691;1613363930691;1613363930691;1613363930691;1613363930691;1613363930691;1613363930691;1613363930691;1613363930691;1613363930692;1613363930692;1613363930692;1613363930692;1613363930692;1613363930692;1613363930710;1613363930712;1613363930712;1613363930712;1613363930712;1613363930712;1613363930712;1613363930717;1613363930717;1613363930717;1613363930717;1613363930717;1613363930717;1613363930717;1613363930717;1613363930717;1613363930718;1613363930942;1613363930942;1613363930942;1613363930942;1613363930942;1613363930942;1613363930943;1613363930943;1613363930943;1613363930944;1613363930944;,142;142;839;846;142;1111;142;916;142;765;118;106;106;106;106;106;1366;1366;1366;1366;118;118;106;1366;1366;1366;534;106;1366;118;106;118;106;142;142;142;805;834;1200;118;126;118;106;106;,2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;1;1;1;2;2;2;2;1;2;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;
1613363931,192.168.1.214,49287,137.110.0.69,443,17,2204,20352,20,27,1613363931694;1613363931694;1613363931694;1613363931695;1613363931695;1613363931695;1613363931695;1613363931695;1613363931695;1613363931695;1613363931696;1613363931696;1613363931697;1613363931697;1613363931697;1613363931697;1613363931714;1613363931714;1613363931715;1613363931720;1613363931720;1613363931720;1613363931720;1613363931720;1613363931720;1613363931720;1613363931721;1613363931721;1613363931721;1613363931721;1613363931721;1613363931721;1613363931945;1613363931945;1613363931945;1613363931945;1613363931946;1613363931946;1613363931946;1613363931946;1613363931946;1613363931946;1613363931946;1613363931946;1613363931947;1613363931947;1613363931947;,142;860;142;798;142;779;142;142;849;1084;106;106;106;118;106;106;1366;1366;106;1366;1366;1366;1366;197;1366;118;106;106;118;118;1366;106;142;142;1018;142;925;142;811;118;825;106;118;106;118;106;106;,2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;1;2;2;2;2;2;2;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;2;1;1;1;1;1;1;
1613363932,192.168.1.214,51502,137.110.0.69,443,6,117,117,2,2,1613363932554;1613363932572;1613363932572;1613363932614;,77;40;77;40;,1;2;2;1;
1613363932,192.168.1.214,49287,137.110.0.69,443,17,2190,18627,19,23,1613363932697;1613363932697;1613363932697;1613363932698;1613363932698;1613363932698;1613363932698;1613363932698;1613363932699;1613363932699;1613363932699;1613363932699;1613363932699;1613363932699;1613363932700;1613363932700;1613363932700;1613363932701;1613363932701;1613363932717;1613363932717;1613363932717;1613363932717;1613363932717;1613363932723;1613363932723;1613363932724;1613363932724;1613363932724;1613363932724;1613363932724;1613363932724;1613363932724;1613363932724;1613363932724;1613363932948;1613363932948;1613363932948;1613363932948;1613363932948;1613363932949;1613363932949;,142;142;142;849;142;118;873;142;126;118;126;865;118;126;118;867;876;106;106;1366;1366;1366;118;106;1366;1366;106;1366;577;1366;1366;118;126;118;106;142;142;847;951;118;106;106;,2;2;2;2;2;1;2;2;1;1;1;2;1;1;1;2;2;1;1;2;2;2;1;1;2;2;1;2;2;2;2;1;1;1;1;2;2;2;2;1;1;1;
1613363932,192.168.1.107,5353,224.0.0.251,5353,17,154,0,1,0,1613363932893;,154;,1;
1613363933,192.168.1.214,49287,137.110.0.69,443,17,2256,20286,20,25,1613363933699;1613363933699;1613363933699;1613363933699;1613363933699;1613363933700;1613363933700;1613363933700;1613363933700;1613363933700;1613363933700;1613363933700;1613363933700;1613363933700;1613363933700;1613363933700;1613363933700;1613363933701;1613363933702;1613363933719;1613363933719;1613363933719;1613363933720;1613363933720;1613363933720;1613363933720;1613363933720;1613363933720;1613363933720;1613363933721;1613363933724;1613363933724;1613363933725;1613363933725;1613363933725;1613363933950;1613363933950;1613363933951;1613363933951;1613363933951;1613363933951;1613363933952;1613363933952;1613363933952;1613363933952;,142;142;825;142;142;118;856;142;106;118;877;126;1059;118;126;118;106;940;106;1366;1366;1366;1366;118;106;118;1366;106;1366;106;1366;1211;118;1366;106;142;142;815;827;142;812;118;106;106;106;,2;2;2;2;2;1;2;2;1;1;2;1;2;1;1;1;1;2;1;2;2;2;2;1;1;1;2;1;2;1;2;2;1;2;1;2;2;2;2;2;2;1;1;1;1;
1613363934,192.168.1.214,49287,137.110.0.69,443,17,2300,20670,20,25,1613363934702;1613363934702;1613363934702;1613363934702;1613363934702;1613363934702;1613363934703;1613363934703;1613363934703;1613363934703;1613363934704;1613363934704;1613363934704;1613363934705;1613363934705;1613363934705;1613363934706;1613363934706;1613363934706;1613363934722;1613363934722;1613363934722;1613363934722;1613363934722;1613363934723;1613363934723;1613363934729;1613363934729;1613363934729;1613363934729;1613363934729;1613363934730;1613363934730;1613363934784;1613363934952;1613363934952;1613363934952;1613363934953;1613363934953;1613363934953;1613363934954;1613363934954;1613363934954;1613363934954;1613363934954;,142;142;142;959;142;142;878;1011;934;883;118;126;118;126;134;126;118;106;106;1366;1366;1366;118;1366;106;106;1366;1366;1366;1366;1250;106;106;106;142;142;142;998;855;838;118;126;118;106;106;,2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;1;1;1;1;
1613363935,FE80::6E99:61FF:FEDD:2562,0,FF02::1,0,58,104,0,1,0,1613363935656;,104;,1;
1613363935,192.168.1.214,49287,137.110.0.69,443,17,2512,20279,22,25,1613363935704;1613363935704;1613363935704;1613363935705;1613363935705;1613363935705;1613363935705;1613363935705;1613363935705;1613363935705;1613363935705;1613363935706;1613363935706;1613363935706;1613363935706;1613363935706;1613363935707;1613363935707;1613363935707;1613363935722;1613363935722;1613363935723;1613363935723;1613363935723;1613363935723;1613363935728;1613363935728;1613363935728;1613363935728;1613363935728;1613363935729;1613363935729;1613363935729;1613363935729;1613363935729;1613363935729;1613363935954;1613363935954;1613363935954;1613363935954;1613363935954;1613363935955;1613363935955;1613363935956;1613363935956;1613363935956;1613363935956;,142;142;142;822;142;789;142;825;838;852;118;126;118;126;118;126;118;106;106;1366;1366;118;118;1366;106;1366;1366;1366;1366;1345;1366;106;118;106;118;106;142;142;1052;142;821;871;118;106;118;106;106;,2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;
1613363935,192.168.1.10,5353,224.0.0.251,5353,17,404,0,1,0,1613363935769;,404;,1;
1613363935,FE80::217:88FF:FE79:5FC7,5353,FF02::FB,5353,17,424,0,1,0,1613363935769;,424;,1;
