Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1613365900,192.168.1.159,54788,137.110.0.69,443,17,8042,106616,55,95,1613365900081;1613365900081;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900082;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900083;1613365900084;1613365900084;1613365900085;1613365900085;1613365900085;1613365900085;1613365900085;1613365900085;1613365900086;1613365900086;1613365900086;1613365900086;1613365900086;1613365900086;1613365900086;1613365900086;1613365900086;1613365900086;1613365900086;1613365900086;1613365900086;1613365900087;1613365900087;1613365900087;1613365900092;1613365900111;1613365900165;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900242;1613365900243;1613365900243;1613365900243;1613365900243;1613365900243;1613365900243;1613365900243;1613365900243;1613365900243;1613365900243;1613365900243;1613365900243;1613365900243;1613365900243;1613365900243;1613365900243;1613365900243;1613365900245;1613365900245;1613365900245;1613365900245;1613365900245;1613365900248;1613365900271;1613365900320;1613365900323;1613365900323;1613365900323;1613365900344;1613365900344;1613365900398;1613365900420;1613365900420;1613365900420;1613365900423;1613365900444;1613365900485;1613365900538;1613365900742;1613365900761;1613365900761;1613365900762;,1366;368;106;1219;1366;368;1366;1344;1366;1366;1366;1366;1366;1366;106;106;106;1366;1366;1366;1366;1366;1366;106;106;106;106;106;1180;106;1366;368;1366;1366;221;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;1366;1366;106;106;106;106;1366;106;1366;1259;1366;106;1366;1366;106;1366;106;1366;1366;1366;106;1366;1366;106;1366;330;106;1366;268;106;279;141;106;254;129;1366;106;368;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;1366;1366;1366;1366;106;106;106;106;1366;1366;106;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;1366;1232;106;1366;268;106;278;141;106;181;1366;339;106;141;106;578;138;106;160;106;136;106;351;141;192;106;,2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;1;1;1;1;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;2;2;1;2;2;1;2;1;2;2;2;1;2;2;1;2;2;1;2;2;1;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;2;2;1;1;2;1;1;1;1;2;2;1;2;2;1;1;2;2;1;1;2;2;1;
1613365901,192.168.1.159,54788,137.110.0.69,443,17,11418,270900,104,204,1613365901771;1613365901791;1613365901842;1613365901938;1613365901938;1613365901938;1613365901939;1613365901968;1613365901968;1613365901969;1613365901969;1613365901969;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901970;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901971;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901972;1613365901973;1613365901973;1613365901973;1613365901973;1613365901973;1613365901973;1613365901973;1613365901973;1613365901973;1613365901973;1613365901973;1613365901973;1613365901973;1613365901973;1613365901973;1613365901973;1613365901973;1613365901973;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901974;1613365901975;1613365901975;1613365901975;1613365901975;1613365901975;1613365901975;1613365901975;1613365901975;1613365901975;1613365901975;1613365901986;1613365901986;1613365901986;1613365901986;1613365901986;1613365901986;1613365901986;1613365901986;1613365901986;1613365901986;1613365901986;1613365901986;1613365901986;1613365901986;1613365901986;1613365901986;1613365901986;1613365901986;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901987;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901988;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901989;1613365901990;1613365901990;1613365901990;1613365901990;1613365901990;1613365901990;1613365901990;1613365901990;1613365901990;1613365901990;1613365901990;1613365901990;1613365901990;1613365901990;1613365901990;1613365901991;1613365901995;,327;141;106;318;1366;214;106;227;106;129;1366;368;106;1366;106;1366;1366;1366;1366;1366;1366;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;1366;1366;1366;1366;1366;1366;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;106;106;106;106;106;106;1366;1366;1366;106;1366;1366;106;1366;1366;1366;1366;1366;106;106;106;106;1366;1366;1366;1366;1366;1366;106;106;1366;106;106;106;106;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;106;106;106;106;106;106;106;106;106;106;1366;1366;1366;1366;1366;1366;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;106;1366;106;106;1366;1366;1366;1366;1366;1366;106;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;1366;106;106;1366;1366;1366;1366;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;1366;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;401;106;106;106;106;106;279;,1;2;1;2;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;1;1;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;
1613365902,192.168.1.159,54788,137.110.0.69,443,17,2832,37287,22,37,1613365902018;1613365902063;1613365902065;1613365902496;1613365902496;1613365902496;1613365902496;1613365902497;1613365902497;1613365902497;1613365902497;1613365902497;1613365902497;1613365902497;1613365902497;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902498;1613365902499;1613365902499;1613365902499;1613365902499;1613365902499;1613365902499;1613365902499;1613365902499;1613365902499;1613365902502;1613365902526;1613365902577;1613365902869;1613365902888;1613365902930;1613365902947;1613365902964;1613365902965;1613365902965;1613365902971;,141;106;126;227;129;106;1366;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;1366;1366;1366;106;106;106;1366;1366;1366;1366;106;106;1366;1366;1366;1366;106;106;1366;1366;1366;1366;106;106;1366;141;106;1366;268;106;278;141;106;190;106;136;350;141;215;106;106;,2;1;2;2;2;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;2;1;1;1;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;1;1;2;2;1;2;2;1;1;2;1;1;2;2;1;2;2;1;1;
1613365903,192.168.1.159,54788,137.110.0.69,443,17,16175,269174,118,216,1613365903352;1613365903352;1613365903352;1613365903372;1613365903377;1613365903421;1613365903422;1613365903422;1613365903422;1613365903422;1613365903422;1613365903422;1613365903422;1613365903422;1613365903422;1613365903422;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903423;1613365903424;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903425;1613365903426;1613365903426;1613365903426;1613365903426;1613365903426;1613365903426;1613365903426;1613365903426;1613365903426;1613365903426;1613365903426;1613365903426;1613365903426;1613365903426;1613365903426;1613365903426;1613365903427;1613365903427;1613365903427;1613365903427;1613365903427;1613365903427;1613365903427;1613365903427;1613365903427;1613365903427;1613365903427;1613365903427;1613365903427;1613365903427;1613365903428;1613365903428;1613365903428;1613365903428;1613365903428;1613365903428;1613365903428;1613365903428;1613365903428;1613365903428;1613365903428;1613365903428;1613365903428;1613365903428;1613365903428;1613365903428;1613365903428;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903429;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903430;1613365903431;1613365903431;1613365903431;1613365903431;1613365903431;1613365903431;1613365903431;1613365903431;1613365903431;1613365903431;1613365903431;1613365903431;1613365903431;1613365903431;1613365903431;1613365903431;1613365903431;1613365903431;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903442;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903443;1613365903444;1613365903444;1613365903444;1613365903448;1613365903451;1613365903454;1613365903474;1613365903502;1613365903517;1613365903602;1613365903602;1613365903602;1613365903604;1613365903627;1613365903651;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903776;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903777;1613365903780;1613365903800;1613365903847;1613365903929;1613365903971;1613365903973;1613365903989;,180;1366;166;141;106;245;129;1366;368;985;106;106;106;1366;106;368;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;1366;106;106;106;106;106;1366;1366;1366;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;181;1366;1366;1366;422;106;1366;106;106;106;106;1366;1366;1366;1366;1366;106;106;1366;106;1366;1366;1366;106;1366;106;1366;1366;106;1366;1366;106;1366;1366;1366;106;1366;1366;1366;1366;106;106;1366;1366;106;1366;1366;1366;106;106;1366;1366;1366;1366;1366;106;106;1366;1366;1366;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;1366;1366;1366;1366;1366;1366;106;106;106;106;1366;1366;1366;106;106;1366;1366;1366;1366;1366;106;106;1366;1366;1366;1366;1366;106;106;106;1366;1366;1366;1366;106;106;1366;1366;106;1366;1366;1366;1366;106;106;1366;1366;1366;1366;106;1366;106;1366;106;1366;1366;1366;1366;1366;1366;1366;1366;106;106;1366;1366;614;1366;1366;1366;1366;1366;1366;1366;106;106;1366;1366;1366;1366;106;106;1366;1366;1366;1366;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;1366;1366;1366;1366;1366;106;1366;1366;106;106;1366;1366;106;106;106;1366;1366;1366;106;1366;1366;1366;1366;1366;106;1366;1366;106;106;106;106;1366;106;106;1366;549;106;106;106;106;106;106;1366;268;106;279;106;465;141;106;106;558;138;106;162;106;106;231;129;1063;1366;1366;1366;1366;1366;1366;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;106;106;1366;106;106;1366;106;1366;705;1366;1366;1366;346;1366;106;106;1366;1366;1366;1366;106;106;1349;106;106;278;141;106;136;327;106;141;,1;1;1;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;1;2;1;1;1;1;2;2;2;2;2;1;1;2;1;2;2;2;1;2;1;2;2;1;2;2;1;2;2;2;1;2;2;2;2;1;1;2;2;1;2;2;2;1;1;2;2;2;2;2;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;1;1;1;2;2;2;1;1;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;2;2;1;1;2;2;1;2;2;2;2;1;1;2;2;2;2;1;2;1;2;1;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;1;1;1;1;2;1;1;2;2;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;1;2;1;1;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2;1;1;1;2;1;2;1;1;2;
1613365904,192.168.1.159,54788,137.110.0.69,443,17,11931,265201,109,208,1613365904035;1613365904120;1613365904120;1613365904120;1613365904120;1613365904161;1613365904474;1613365904491;1613365904532;1613365904550;1613365904550;1613365904550;1613365904550;1613365904550;1613365904551;1613365904551;1613365904551;1613365904551;1613365904551;1613365904551;1613365904551;1613365904551;1613365904551;1613365904551;1613365904551;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904552;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904553;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904554;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904555;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904556;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904557;1613365904558;1613365904558;1613365904558;1613365904558;1613365904558;1613365904558;1613365904558;1613365904558;1613365904558;1613365904558;1613365904558;1613365904558;1613365904558;1613365904575;1613365904575;1613365904575;1613365904575;1613365904575;1613365904575;1613365904575;1613365904575;1613365904575;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904576;1613365904577;1613365904577;1613365904577;1613365904577;1613365904577;1613365904577;1613365904577;1613365904577;1613365904577;1613365904577;1613365904581;1613365904585;1613365904601;1613365904647;1613365904909;1613365904909;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904910;1613365904911;1613365904911;1613365904911;1613365904911;1613365904911;1613365904911;1613365904911;1613365904911;1613365904911;1613365904911;1613365904911;1613365904911;1613365904911;1613365904911;1613365904911;1613365904911;1613365904911;1613365904912;1613365904915;1613365904940;1613365904993;,106;319;1366;210;106;106;138;106;134;226;129;106;1366;1366;106;1366;1366;106;1366;1366;1366;106;1366;1366;1366;106;106;1366;1366;1366;1366;1366;106;106;1366;1366;1366;106;1366;106;1366;1366;1366;106;106;1366;689;1366;1366;106;106;1366;1366;1366;106;1366;1366;1366;1366;1366;106;106;106;1366;1366;1366;1366;1366;106;106;1366;1366;1366;106;106;1366;1366;1366;106;1366;1366;1366;1366;106;106;1366;1203;1366;106;106;1366;1366;1366;106;1366;1366;1366;106;106;1366;1366;1366;1366;106;106;1366;1366;1366;1366;1366;106;106;1366;1366;1366;1366;106;106;1366;1366;1366;106;106;1366;1366;1366;1366;1366;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;1366;1366;106;106;1366;1366;106;1366;1366;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;1366;1366;106;106;1366;106;106;1366;106;1366;1366;1366;1366;1366;1366;106;106;1366;1366;106;106;1366;1366;1366;1366;1366;987;1366;368;106;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;1366;106;106;1366;1366;1366;1366;106;1366;1366;1366;106;106;106;106;106;1366;442;106;106;106;106;106;106;1366;268;106;106;106;106;279;106;141;106;254;129;106;1366;368;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;1366;1366;1366;106;106;106;106;1366;1366;1366;106;1366;1366;1366;1366;1366;1366;106;645;1366;106;106;268;106;106;278;141;106;,1;2;2;2;1;1;1;2;2;2;2;1;2;2;1;2;2;1;2;2;2;1;2;2;2;1;1;2;2;2;2;2;1;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;2;2;2;1;1;2;2;2;1;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;1;1;2;1;2;2;2;2;2;2;1;1;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;1;1;1;1;1;2;2;1;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;1;1;2;1;1;1;2;1;
1613365904,FE80::6E99:61FF:FEDD:2562,0,FF02::1,0,58,104,0,1,0,1613365904299;,104;,1;
1613365904,FE80::217:88FF:FE79:5FC7,0,FF02::16,0,0,76,0,1,0,1613365904322;,76;,1;
1613365904,192.168.1.10,5353,224.0.0.251,5353,17,676,0,2,0,1613365904616;1613365904803;,404;272;,1;1;
1613365904,FE80::217:88FF:FE79:5FC7,5353,FF02::FB,5353,17,716,0,2,0,1613365904616;1613365904803;,424;292;,1;1;
1613365905,192.168.1.10,5353,224.0.0.251,5353,17,1472,0,4,0,1613365905053;1613365905303;1613365905553;1613365905654;,272;272;524;404;,1;1;1;1;
